tap_number,date_time,beer,brewer,style,keg_cost,glass_price
4,Thu Apr 02 2015 19:24:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
3,Thu Apr 02 2015 21:00:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Thu Apr 02 2015 21:09:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
4,Thu Apr 02 2015 22:51:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Fri Apr 03 2015 00:53:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Fri Apr 03 2015 00:53:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
4,Fri Apr 03 2015 20:57:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
6,Fri Apr 03 2015 21:59:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
5,Fri Apr 03 2015 23:05:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Sat Apr 04 2015 22:12:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
5,Sun Apr 05 2015 19:35:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
3,Mon Apr 06 2015 18:01:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
5,Tue Apr 07 2015 17:05:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
4,Tue Apr 07 2015 19:13:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
3,Tue Apr 07 2015 22:09:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
4,Wed Apr 08 2015 19:11:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
3,Thu Apr 09 2015 18:17:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
4,Thu Apr 09 2015 20:21:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
5,Thu Apr 09 2015 20:51:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
3,Thu Apr 09 2015 22:28:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
5,Fri Apr 10 2015 16:26:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
3,Fri Apr 10 2015 18:53:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
5,Fri Apr 10 2015 20:25:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
4,Fri Apr 10 2015 23:04:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Fri Apr 10 2015 23:58:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
4,Sun Apr 12 2015 15:40:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
5,Sun Apr 12 2015 19:00:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
3,Sun Apr 12 2015 19:28:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Mon Apr 13 2015 21:16:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
3,Mon Apr 13 2015 22:02:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
3,Wed Apr 15 2015 13:39:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
5,Wed Apr 15 2015 17:26:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
3,Thu Apr 16 2015 16:58:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
5,Thu Apr 16 2015 17:41:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Thu Apr 16 2015 20:07:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
5,Thu Apr 16 2015 20:49:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Thu Apr 16 2015 23:28:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Fri Apr 17 2015 15:26:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Fri Apr 17 2015 18:33:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
6,Fri Apr 17 2015 21:45:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Fri Apr 17 2015 23:11:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
6,Sat Apr 18 2015 15:35:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Sun Apr 19 2015 14:55:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Sun Apr 19 2015 23:35:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
5,Tue Apr 21 2015 00:44:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Tue Apr 21 2015 16:42:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
6,Wed Apr 22 2015 20:59:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
5,Wed Apr 22 2015 21:38:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
5,Thu Apr 23 2015 19:27:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
6,Thu Apr 23 2015 19:51:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
5,Thu Apr 23 2015 21:54:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Fri Apr 24 2015 16:34:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
4,Fri Apr 24 2015 19:35:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
5,Fri Apr 24 2015 19:38:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Fri Apr 24 2015 20:36:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
5,Sat Apr 25 2015 00:17:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Sat Apr 25 2015 19:46:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
5,Sun Apr 26 2015 20:48:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Mon Apr 27 2015 20:41:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
5,Tue Apr 28 2015 19:58:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Tue Apr 28 2015 20:05:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
4,Wed Apr 29 2015 17:52:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
5,Wed Apr 29 2015 21:19:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
5,Thu Apr 30 2015 18:01:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
4,Thu Apr 30 2015 21:08:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
5,Thu Apr 30 2015 21:33:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
4,Fri May 01 2015 15:58:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
5,Fri May 01 2015 17:04:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
6,Fri May 01 2015 17:55:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
5,Fri May 01 2015 19:54:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Fri May 01 2015 23:19:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Fri May 01 2015 23:41:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
5,Sun May 03 2015 16:37:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Sun May 03 2015 20:05:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Mon May 04 2015 21:27:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
5,Tue May 05 2015 18:37:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Wed May 06 2015 20:00:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
6,Wed May 06 2015 20:47:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
5,Thu May 07 2015 19:07:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Thu May 07 2015 19:25:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
5,Thu May 07 2015 22:45:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
6,Fri May 08 2015 00:18:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
4,Fri May 08 2015 00:26:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
5,Fri May 08 2015 17:02:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Fri May 08 2015 21:02:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
4,Fri May 08 2015 22:23:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
5,Sat May 09 2015 00:00:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
4,Sat May 09 2015 22:07:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
6,Sun May 10 2015 17:12:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
4,Mon May 11 2015 15:12:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
5,Tue May 12 2015 00:39:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
4,Tue May 12 2015 14:19:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
5,Wed May 13 2015 00:23:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
3,Wed May 13 2015 19:49:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Wed May 13 2015 23:00:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
3,Thu May 14 2015 18:42:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Thu May 14 2015 19:58:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Thu May 14 2015 21:04:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
3,Thu May 14 2015 23:17:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Fri May 15 2015 15:09:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
3,Fri May 15 2015 18:53:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
4,Fri May 15 2015 20:29:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
3,Fri May 15 2015 22:17:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
5,Sat May 16 2015 00:19:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
4,Sat May 16 2015 00:50:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
4,Sun May 17 2015 19:25:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
4,Mon May 18 2015 19:57:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
3,Mon May 18 2015 20:00:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
3,Tue May 19 2015 19:16:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
6,Tue May 19 2015 22:18:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
3,Wed May 20 2015 19:21:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Wed May 20 2015 22:12:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Thu May 21 2015 19:28:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
3,Thu May 21 2015 20:44:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Thu May 21 2015 22:14:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
3,Fri May 22 2015 00:25:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
6,Fri May 22 2015 16:58:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
5,Fri May 22 2015 20:29:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Fri May 22 2015 20:49:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
3,Fri May 22 2015 22:40:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Fri May 22 2015 23:47:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
5,Sat May 23 2015 20:21:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Sun May 24 2015 00:32:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Mon May 25 2015 19:27:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
6,Tue May 26 2015 19:13:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
5,Wed May 27 2015 16:12:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Wed May 27 2015 21:35:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
3,Thu May 28 2015 15:35:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Thu May 28 2015 16:25:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
3,Thu May 28 2015 19:51:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
5,Thu May 28 2015 21:05:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
3,Fri May 29 2015 00:55:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
5,Fri May 29 2015 16:49:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
3,Fri May 29 2015 20:38:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
5,Fri May 29 2015 20:57:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Fri May 29 2015 21:54:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
5,Fri May 29 2015 23:43:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
5,Sun May 31 2015 00:18:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Mon Jun 01 2015 00:36:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
5,Mon Jun 01 2015 16:38:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
6,Tue Jun 02 2015 17:15:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
5,Wed Jun 03 2015 16:43:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
6,Wed Jun 03 2015 17:17:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
3,Wed Jun 03 2015 21:40:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Thu Jun 04 2015 17:02:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
3,Thu Jun 04 2015 19:01:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
6,Thu Jun 04 2015 20:15:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Thu Jun 04 2015 22:20:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
3,Fri Jun 05 2015 16:53:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
6,Fri Jun 05 2015 17:15:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
3,Fri Jun 05 2015 20:40:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Fri Jun 05 2015 21:52:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
3,Sat Jun 06 2015 20:13:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Sat Jun 06 2015 22:09:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Sun Jun 07 2015 21:49:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
5,Sun Jun 07 2015 22:38:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Mon Jun 08 2015 22:28:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
5,Tue Jun 09 2015 17:45:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
6,Wed Jun 10 2015 15:08:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
5,Wed Jun 10 2015 19:35:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
3,Wed Jun 10 2015 19:37:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
3,Thu Jun 11 2015 18:47:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
4,Thu Jun 11 2015 18:57:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
5,Thu Jun 11 2015 19:03:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Thu Jun 11 2015 21:34:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
5,Thu Jun 11 2015 22:13:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Fri Jun 12 2015 15:57:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Fri Jun 12 2015 18:53:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Fri Jun 12 2015 21:07:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
5,Fri Jun 12 2015 22:36:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Sat Jun 13 2015 16:13:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
5,Sat Jun 13 2015 21:38:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Sun Jun 14 2015 21:44:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
5,Mon Jun 15 2015 15:37:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Tue Jun 16 2015 18:31:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
6,Tue Jun 16 2015 21:32:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Wed Jun 17 2015 21:20:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
5,Thu Jun 18 2015 17:06:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Thu Jun 18 2015 19:59:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
5,Thu Jun 18 2015 20:44:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
4,Thu Jun 18 2015 23:56:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
5,Fri Jun 19 2015 00:23:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Fri Jun 19 2015 19:08:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
4,Fri Jun 19 2015 19:34:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
5,Fri Jun 19 2015 19:46:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
4,Fri Jun 19 2015 23:35:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
5,Sat Jun 20 2015 21:07:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
6,Sun Jun 21 2015 21:14:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Mon Jun 22 2015 00:16:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Tue Jun 23 2015 18:17:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
5,Tue Jun 23 2015 18:22:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
4,Tue Jun 23 2015 21:17:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
5,Wed Jun 24 2015 18:00:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
5,Wed Jun 24 2015 23:55:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
4,Thu Jun 25 2015 19:00:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Thu Jun 25 2015 20:22:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
4,Thu Jun 25 2015 22:02:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
5,Fri Jun 26 2015 13:41:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
4,Fri Jun 26 2015 19:11:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
5,Fri Jun 26 2015 20:45:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
4,Fri Jun 26 2015 21:55:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Fri Jun 26 2015 22:53:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Sun Jun 28 2015 18:18:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
4,Sun Jun 28 2015 19:45:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
4,Mon Jun 29 2015 20:02:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Mon Jun 29 2015 21:50:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Tue Jun 30 2015 23:30:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
4,Wed Jul 01 2015 15:26:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
5,Wed Jul 01 2015 17:14:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
5,Thu Jul 02 2015 12:44:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Thu Jul 02 2015 15:32:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Thu Jul 02 2015 20:21:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
5,Thu Jul 02 2015 22:28:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
6,Thu Jul 02 2015 23:17:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Fri Jul 03 2015 17:43:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Fri Jul 03 2015 19:17:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Fri Jul 03 2015 20:45:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Fri Jul 03 2015 23:50:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Sat Jul 04 2015 20:31:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
4,Sat Jul 04 2015 20:53:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
5,Sun Jul 05 2015 16:27:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
5,Mon Jul 06 2015 19:48:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
6,Mon Jul 06 2015 23:59:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
4,Tue Jul 07 2015 00:58:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
4,Wed Jul 08 2015 16:04:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Wed Jul 08 2015 19:42:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
6,Thu Jul 09 2015 17:34:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Thu Jul 09 2015 19:30:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
4,Thu Jul 09 2015 20:27:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Thu Jul 09 2015 21:19:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
